country_name;regime_type;election_date;election_year;party_name_english;party_name;party_name_short;vote_share;seats;seats_total;far_right;farright_start;farright_end;farright_startnobl;farright_endnobl;in_parliament
Ireland;Full democracy;1989-06-15;1989.0;Fianna Fail;;;44.15;77.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;Fine Gael (Family of the Irish);;;29.29;55.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;Labour Party;;;9.48;15.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;We Ourselves;Sinn Féin;SF;4.97;7.0;166.0;not far-right;2100.0;2100.0;2100.0;2100.0;1.0
Ireland;Full democracy;1989-06-15;1989.0;Progressive Democrats;;;5.49;6.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;no party affiliation;;;;4.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;Green Party;;;1.5;1.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;Democratic Socialist Party (Netherlands);;;0.59;1.0;166.0;not far-right;;;;;
Ireland;Full democracy;1989-06-15;1989.0;We Ourselves;Sinn Féin;SF;1.21;0.0;166.0;not far-right;2100.0;2100.0;2100.0;2100.0;1.0
Greece;Full democracy;1989-06-18;1989.0;New Democracy;;;44.3;145.0;300.0;not far-right;;;;;
Greece;Full democracy;1989-06-18;1989.0;Panhellenic Socialist Movement;;;39.1;125.0;300.0;not far-right;;;;;
Greece;Full democracy;1989-06-18;1989.0;Coalition of the Left;;;13.1;28.0;300.0;not far-right;;;;;
Greece;Full democracy;1989-06-18;1989.0;Independent Muslim Lists;;;0.52;1.0;300.0;not far-right;;;;;
Greece;Full democracy;1989-06-18;1989.0;Democratic Renewal;;;1.0;1.0;300.0;not far-right;;;;;
Luxembourg;Full democracy;1989-06-18;1989.0;Christian Social People's Party;;;31.66;22.0;60.0;not far-right;;;;;
Luxembourg;Full democracy;1989-06-18;1989.0;Luxembourg Socialist Workers' Party;;;27.21;18.0;60.0;not far-right;;;;;
Luxembourg;Full democracy;1989-06-18;1989.0;Democratic Party;;;16.16;11.0;60.0;not far-right;;;;;
Luxembourg;Full democracy;1989-06-18;1989.0;Action Committee Pensions | Alternative Democratic Reform Party;;;7.29;4.0;60.0;not far-right;;;;;
