country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short_x;party_name_x;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;previous_cabinet_id;party_id;party_name_y;party_name_short_y;farright;farright_start;farright_end;parlgov_id;far_right;election_year
ITA;Italy;parliament;1994-03-27;46.4;;630.0;CeD;Centro-destra;Centre Right;7.4;26.0;146.0;605.0;801.0;67.0;Il Popolo della Libertà;PDL;0.0;2100.0;2100.0;67.0;non far-right;1994
ITA;Italy;parliament;1994-03-27;34.3;;630.0;CeS;Centro-sinistra;Centre Left;3.3;26.0;146.0;605.0;801.0;1048.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;0.1;1.0;630.0;UV;Union Valdôtaine;Valdotanian Union;;26.0;146.0;605.0;801.0;974.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;0.2;1.0;630.0;LAM;Lega d'Azione Meridionale;Southern Action League;8.7;26.0;146.0;605.0;801.0;436.0;Lega d'Azione Meridionale;LAM;1.0;1900.0;2100.0;436.0;far-right;1994
ITA;Italy;parliament;1994-03-27;;1.0;630.0;one-seat;one seat;one seat;;26.0;146.0;605.0;801.0;2302.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;2.0;630.0;PLD;Polo Liberal-Democratico;Liberal Democratic Pole;6.0;26.0;146.0;605.0;801.0;671.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;0.6;3.0;630.0;SVP;Südtiroler Volkspartei;South Tyrol Peoples Party;5.4;26.0;146.0;605.0;801.0;1030.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;4.0;630.0;UdCe;Unione Democratica di Centro;Democratic Union of the Centre;6.0;26.0;146.0;605.0;801.0;397.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;5.0;630.0;CS;Cristiano Sociali;Social Christians;6.2;26.0;146.0;605.0;801.0;1431.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;6.0;630.0;R;Radicali;Radicals;3.9732;26.0;146.0;605.0;801.0;1296.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;10.0;630.0;none;senzo partito;no party affiliation;;26.0;146.0;605.0;801.0;1552.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;11.0;630.0;FdV;Federazione dei Verdi;Federation of the Greens;2.3725;26.0;146.0;605.0;801.0;910.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;14.0;630.0;PSI;Partito Socialista Italiano;Italian Socialist Party;3.7722;26.0;146.0;605.0;801.0;1475.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;29.0;630.0;CCD;Centro Cristiano Democratico;Christian Democratic Centre;5.9067;26.0;146.0;605.0;801.0;99.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;39.0;630.0;PRC;Partito della Rifondazione Comunista;Communist Refoundation Party;0.8849;26.0;146.0;605.0;801.0;1321.0;Partito della Rifondazione Comunista;PRC;0.0;2100.0;2100.0;1321.0;non far-right;1994
ITA;Italy;parliament;1994-03-27;15.7;46.0;630.0;PPI;Partito Popolare Italiano;Italian People's Party;4.6267;26.0;146.0;605.0;801.0;142.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;99.0;630.0;FI-PdL;Forza Italia – Il Popolo della Libertà;Go Italy -- The People of Freedom;7.1459;26.0;146.0;605.0;801.0;596.0;Forza Italia (1994-2009);FI1;0.0;2100.0;2100.0;596.0;non far-right;1994
ITA;Italy;parliament;1994-03-27;;109.0;630.0;DS;Democratici di Sinistra;Democrats of the Left;2.6277;26.0;146.0;605.0;801.0;809.0;;;;;;;non far-right;1994
ITA;Italy;parliament;1994-03-27;;109.0;630.0;AN;Alleanza Nazionale;National Alliance;8.0871;26.0;146.0;605.0;801.0;373.0;Alleanza Nazionale;AN;1.0;1900.0;2100.0;373.0;far-right;1994
ITA;Italy;parliament;1994-03-27;;117.0;630.0;LN;Lega Nord;North League;7.8007;26.0;146.0;605.0;801.0;1436.0;Lega (Nord);Lega;1.0;1900.0;2100.0;1436.0;far-right;1994
ITA;Italy;parliament;1994-03-27;;6.0;630.0;Rete;Movimento per la Democrazia – La Rete;Movement for Democracy -- The Net;6.2;26.0;146.0;605.0;801.0;366.0;La Rete;LR;0.0;2100.0;2100.0;366.0;non far-right;1994
ITA;Italy;parliament;1994-03-27;;18.0;630.0;AD;Alleanza Democratica;Democratic Alliance;5.0;26.0;146.0;605.0;801.0;896.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;19.96;31.0;150.0;VVD;Volkspartij voor Vrijheid en Democratie;People's Party for Freedom and Democracy;7.3482;8.0;570.0;627.0;148.0;1409.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;22.23;34.0;150.0;CDA;Christen Democratisch Appèl;Christian Democratic Appeal;5.9376;8.0;570.0;627.0;148.0;235.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;1.77;3.0;150.0;RPF;Reformatorische Politieke Federati;Reformatory Political Federation;8.2963;8.0;570.0;627.0;148.0;212.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;15.49;24.0;150.0;D66;Democraten 66;Democrats 66;4.5066;8.0;570.0;627.0;148.0;345.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;0.87;1.0;150.0;one-seat;one seat;one seat;;8.0;570.0;627.0;148.0;2288.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;23.97;37.0;150.0;PvdA;Partij van de Arbeid;Labour Party;3.6118;8.0;570.0;627.0;148.0;742.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;1.73;2.0;150.0;SGP;Staatkundig Gereformeerde Partij;Political Reformed Party;8.7531;8.0;570.0;627.0;148.0;1251.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;3.63;6.0;150.0;AOV|VSP;Algemeen Ouderen Verbond | Verenigde Senioren Partij;General Senior Union | United Seniors Party;;8.0;570.0;627.0;148.0;112.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;3.47;5.0;150.0;GL;GroenLinks;GreenLeft;2.0454;8.0;570.0;627.0;148.0;756.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;2.46;3.0;150.0;CD;Centrum Democraten;Centre Democrats;9.4097;8.0;570.0;627.0;148.0;209.0;Centrum Democraten;CD;1.0;1900.0;2100.0;209.0;far-right;1994
NLD;Netherlands;parliament;1994-05-03;0.36;0.0;150.0;CP;Centrumpartij;Centre Party;8.7;8.0;570.0;627.0;148.0;275.0;;;;;;;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;1.32;2.0;150.0;SP;Socialistiese Partij;Socialist Party;1.3682;8.0;570.0;627.0;148.0;357.0;Socialistiese Partij;SP;0.0;2100.0;2100.0;357.0;non far-right;1994
NLD;Netherlands;parliament;1994-05-03;1.33;2.0;150.0;GPV;Gereformeerd Politiek Verbond;Reformed Political League;8.1444;8.0;570.0;627.0;148.0;625.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;0.6;1.0;386.0;VP;Vállalkozók Pártja Egyesület;Entrepreneurs' Party;6.0;39.0;620.0;257.0;13.0;1203.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;19.7;69.0;386.0;SzDSz;Szabad Demokraták Szövetsége;Alliance of Free Democrats;3.9659;39.0;620.0;257.0;13.0;1426.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;11.7;38.0;386.0;MDF;Magyar Demokrata Fórum;Hungarian Democratic Forum;6.4826;39.0;620.0;257.0;13.0;546.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;8.8;26.0;386.0;FKgP;Független Kisgazda Párt;Independent Small Holders Party;9.0186;39.0;620.0;257.0;13.0;870.0;Független Kisgazdapárt;FKgP;1.0;2019.0;2100.0;870.0;non far-right;1994
HUN;Hungary;parliament;1994-05-29;7.0;22.0;386.0;KDNP;Kereszténydemokrata Néppárt;Christian Democratic People's Party;7.4;39.0;620.0;257.0;13.0;434.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;2.55;0.0;386.0;KP;Köztársaság Párt;Republican Party;;39.0;620.0;257.0;13.0;2588.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;3.2;0.0;386.0;MMP;Magyar Munkáspárt;Hungarian Workers' Party;0.6316;39.0;620.0;257.0;13.0;1202.0;Magyar Munkáspárt;MMP;0.0;2100.0;2100.0;1202.0;non far-right;1994
HUN;Hungary;parliament;1994-05-29;1.6;0.0;386.0;MIEP;Magyar Igazság és Élet Pártja;Hungarian Justice and Life Party;9.6065;39.0;620.0;257.0;13.0;95.0;Magyar Igazság és Élet Pártja;MIÉP;1.0;1900.0;2100.0;95.0;far-right;1994
HUN;Hungary;parliament;1994-05-29;33.0;209.0;386.0;MSZP;Magyar Szocialista Párt;Hungarian Socialist Party;2.8743;39.0;620.0;257.0;13.0;1591.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;2.1;1.0;386.0;ASZ;Agrárszövetség;Agrarian Alliance;5.3;39.0;620.0;257.0;13.0;1183.0;;;;;;;non far-right;1994
HUN;Hungary;parliament;1994-05-29;7.0;20.0;386.0;Fi-MPSz;Fidesz – Magyar Polgári Szövetség;Fidesz -- Hungarian Civic Union;6.5432;39.0;620.0;257.0;13.0;921.0;Fidesz;Fidesz;1.0;2010.0;2100.0;921.0;non far-right;1994
LUX;Luxembourg;parliament;1994-06-12;2.76;0.0;60.0;NB;National Bewegong;National Movement;8.7;7.0;306.0;526.0;418.0;374.0;National Bewegong;NB;1.0;1900.0;2100.0;374.0;far-right;1994
LUX;Luxembourg;parliament;1994-06-12;29.71;21.0;60.0;CSV;Chrëschtlech Sozial Vollekspartei;Christian Social People's Party;6.4474;7.0;306.0;526.0;418.0;1234.0;;;;;;;non far-right;1994
LUX;Luxembourg;parliament;1994-06-12;26.69;17.0;60.0;LSAP;Lëtzebuerger Sozialistesch Aarbechterpartei;Luxembourg Socialist Workers' Party;3.2895;7.0;306.0;526.0;418.0;701.0;;;;;;;non far-right;1994
LUX;Luxembourg;parliament;1994-06-12;18.35;12.0;60.0;DP;Demokratesch Partei;Democratic Party;6.5789;7.0;306.0;526.0;418.0;967.0;;;;;;;non far-right;1994
LUX;Luxembourg;parliament;1994-06-12;10.17;5.0;60.0;Greng;Déi Gréng;The Greens;2.5;7.0;306.0;526.0;418.0;310.0;;;;;;;non far-right;1994
LUX;Luxembourg;parliament;1994-06-12;8.16;5.0;60.0;AR|ADR;Aktiounskomitee Rente | Alternativ Demokratesch Reformpartei;Action Committee Pensions | Alternative Democratic Reform Party;8.8158;7.0;306.0;526.0;418.0;1582.0;Alternativ Demokratesch Reformpartei;ADR;1.0;2022.0;2100.0;1582.0;non far-right;1994
LUX;Luxembourg;parliament;1994-06-12;1.92;0.0;60.0;KPL;Kommunistesch Partei Lëtzebuerg;Communist Party of Luxembourg;1.3;7.0;306.0;526.0;418.0;151.0;Kommunistesch Partei Lëtzebuerg;KPL;0.0;2100.0;2100.0;151.0;non far-right;1994
SWE;Sweden;parliament;1994-09-18;1.2;0.0;349.0;NyD;Ny Demokrati;New Democracy;8.9944;35.0;412.0;472.0;779.0;951.0;Ny Demokrati;NyD;0.0;2100.0;2100.0;951.0;non far-right;1994
SWE;Sweden;parliament;1994-09-18;6.2;22.0;349.0;V;Vänsterpartiet (kommunisterna);Left Party (Communists);1.5464;35.0;412.0;472.0;779.0;882.0;Vänsterpartiet;V;0.0;2100.0;2100.0;882.0;non far-right;1994
SWE;Sweden;parliament;1994-09-18;4.1;15.0;349.0;KD;Kristdemokraterna;Christian Democrats;7.195;35.0;412.0;472.0;779.0;282.0;;;;;;;non far-right;1994
SWE;Sweden;parliament;1994-09-18;45.3;161.0;349.0;SAP;Socialdemokraterna;Social Democrats;3.4447;35.0;412.0;472.0;779.0;904.0;;;;;;;non far-right;1994
